,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
1,3,4,4,2,3,2,4,3,4,3,3,3,4,3,3,5,4,3,4,1,5,1,1,1,5,3,2,5,5,5,5,5,3,2,2,2,3,2,2,1,4,4
2,5,5,5,5,5,4,3,3,3,4,5,2,4,5,2,3,3,5,5,1,5,1,3,3,3,3,1,5,5,3,2,5,5,3,2,3,3,5,3,1,4,4
3,4,4,4,2,2,2,3,2,4,4,3,5,5,1,2,4,1,2,4,2,4,1,1,1,,,3,3,4,4,4,5,5,5,5,5,5,3,1,1,4,4
4,4,4,4,3,3,3,1,3,4,3,2,4,3,3,4,4,3,4,4,2,4,1,1,2,3,2,4,3,3,3,4,5,5,3,3,3,4,4,4,1,4,4
5,4,4,4,3,3,,4,4,4,2,3,4,3,4,4,4,3,3,3,2,3,3,3,3,3,1,3,5,3,2,3,5,3,4,4,4,4,4,3,1,4,4
6,4,5,5,4,4,5,4,4,3,3,3,2,3,4,2,4,4,4,3,1,4,1,1,1,4,3,3,4,5,4,4,5,5,5,5,5,5,4,4,1,4,4
7,3,4,4,3,2,3,4,4,4,3,3,2,3,3,4,4,4,5,3,2,3,3,2,3,,1,3,2,2,3,5,3,4,4,5,3,3,3,2,1,4,4
8,4,5,4,2,4,4,4,4,5,5,5,3,4,4,4,4,3,3,4,1,4,2,2,2,3,,4,3,3,4,2,5,5,5,5,5,5,2,1,1,4,4
9,4,5,5,4,4,3,4,4,5,2,4,4,4,4,4,4,4,5,3,2,4,3,1,1,5,3,4,4,4,4,5,5,4,4,4,3,3,4,4,1,4,4
10,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,2,2,5,1,4,3,2,1,1,1,3,3,3,3,3,4,4,4,4,4,4,3,3,1,4,4
11,4,4,5,4,4,4,4,4,4,3,2,4,4,3,4,3,2,2,4,1,2,1,1,1,2,3,4,3,4,4,4,5,5,4,5,5,3,3,2,1,4,4
12,5,5,5,5,5,5,5,5,2,2,2,2,4,4,1,5,5,5,3,1,3,3,3,3,5,1,2,5,5,4,3,5,4,4,4,5,4,4,4,1,4,2
13,4,5,5,4,4,4,3,3,4,5,5,4,4,5,4,4,3,5,3,1,4,1,3,2,4,1,2,3,3,2,4,5,4,4,3,4,4,4,3,1,4,4
14,4,5,5,4,4,4,5,5,5,3,5,4,4,4,4,2,1,5,3,2,5,1,1,1,1,,1,1,5,5,1,5,5,3,5,4,2,1,1,1,4,
15,4,5,5,1,4,2,5,4,5,4,5,3,4,4,3,4,2,5,3,2,5,1,1,3,3,1,5,5,5,3,1,5,5,5,5,5,5,3,3,1,4,4
16,4,4,4,2,4,4,4,4,4,3,2,2,4,4,3,4,4,4,4,2,4,2,2,3,3,1,4,4,4,3,2,5,5,5,5,5,5,3,3,2,4,3
17,5,5,5,1,2,2,5,5,5,1,5,5,3,4,1,1,4,5,4,1,3,3,3,3,3,3,5,5,5,3,4,5,5,2,1,5,5,5,5,2,4,3
18,4,5,5,3,4,5,5,4,5,2,2,3,5,2,3,4,3,4,2,1,4,1,3,3,4,3,5,3,3,4,4,5,5,5,5,5,5,4,4,2,4,4
19,3,5,4,2,2,2,4,3,3,3,2,4,4,3,3,5,3,3,4,2,3,1,2,2,2,1,3,2,3,3,2,4,4,5,4,5,4,5,3,1,4,4
20,4,5,4,3,4,4,4,3,4,2,3,3,4,3,3,4,3,3,4,2,2,3,2,2,2,,3,2,4,3,3,4,4,5,4,4,3,3,3,1,4,4
21,4,4,4,3,4,2,3,3,4,5,2,5,5,3,3,3,2,4,4,2,3,3,2,2,1,,1,1,3,5,1,5,3,4,3,4,3,2,2,1,4,3
22,4,5,5,2,4,4,4,2,3,4,5,4,3,3,3,1,1,2,3,,1,2,2,2,1,,,,,4,,5,,,5,2,2,1,1,1,4,4
23,4,4,4,4,4,4,4,4,4,2,3,3,3,3,3,3,3,3,3,,4,1,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4
24,4,4,4,2,4,5,4,2,5,4,3,3,5,4,4,5,5,5,5,2,3,3,3,3,5,3,5,4,3,2,2,5,5,5,5,5,3,5,4,1,4,4
25,4,5,5,4,5,5,5,5,5,2,2,1,5,5,4,4,2,2,4,1,4,1,1,1,2,,2,3,3,2,4,5,5,5,5,5,5,3,2,1,4,4
26,4,4,4,4,4,4,4,4,5,5,2,4,4,4,1,4,2,3,4,1,4,1,3,3,2,1,,,,4,4,5,5,5,5,5,5,3,3,1,4,3
27,5,5,4,2,4,5,4,4,5,5,5,5,4,5,1,5,5,5,1,1,5,1,3,3,5,3,4,5,5,5,5,5,5,4,4,4,5,5,5,1,4,3
28,3,3,3,3,3,3,3,3,4,4,4,5,4,3,4,3,2,2,4,2,3,3,3,3,1,,1,1,1,1,1,4,5,5,5,4,5,2,2,2,4,3
29,4,4,4,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,2,3,2,2,2,3,,3,3,3,3,3,5,3,3,5,3,3,3,3,2,4,3
30,4,4,4,2,4,2,4,4,2,3,3,4,4,2,3,3,2,3,3,2,2,1,1,3,1,,3,2,5,2,2,4,5,4,4,5,1,1,1,2,4,2
31,5,5,5,1,4,2,4,4,5,4,5,3,3,3,1,5,5,5,5,,5,1,1,2,5,3,5,5,5,5,5,5,5,5,3,3,3,5,1,1,4,3
32,1,1,1,1,1,1,1,1,5,5,5,5,4,5,3,1,1,3,5,2,1,1,,,1,,1,1,1,1,1,5,5,5,4,5,4,1,1,1,4,3
33,4,4,4,3,4,4,2,2,4,4,2,2,3,3,3,4,3,2,3,2,3,3,3,3,4,3,4,4,4,4,5,5,5,5,5,5,5,4,4,1,4,4
34,5,5,5,5,5,5,5,5,3,2,4,4,3,5,1,5,5,5,3,1,2,2,3,3,5,3,1,5,5,4,1,5,5,3,3,2,3,5,4,1,4,2
35,5,5,5,5,5,5,5,5,5,2,5,2,4,5,2,5,5,5,3,1,2,3,3,3,5,3,5,2,5,3,2,5,5,4,3,3,3,5,3,2,4,4
36,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,2,,3,3,3,3,4,3,4,4,3,4,3,5,5,4,5,4,4,3,4,1,2,4
37,4,5,5,4,4,4,4,4,4,2,3,3,4,4,4,5,4,4,4,1,3,1,2,2,,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,3
38,3,5,5,2,4,4,4,4,4,2,2,4,4,3,3,4,3,4,3,1,3,2,3,3,3,3,4,3,4,3,4,5,5,4,3,4,4,4,4,2,4,1
39,2,4,3,3,2,2,4,2,4,1,1,4,4,4,2,3,1,1,2,,,2,2,2,1,,1,1,3,3,1,5,5,4,3,4,3,1,1,1,4,4
40,4,4,4,2,3,4,4,3,5,2,1,4,5,2,2,4,1,1,2,,,2,2,2,1,,1,1,1,1,1,5,5,5,5,5,5,2,1,2,4,3
41,2,2,2,2,2,2,1,1,1,2,3,5,4,1,1,1,1,1,1,2,1,2,2,2,1,,1,1,1,1,1,5,5,5,5,5,1,1,1,1,4,3
42,4,5,5,4,3,4,5,5,4,2,3,2,4,3,2,5,4,4,4,1,2,3,3,3,4,1,5,4,5,3,2,5,3,3,3,4,4,4,4,2,4,4
43,4,4,4,2,2,4,3,3,4,3,3,4,4,4,4,4,4,4,4,1,4,1,2,2,4,3,2,4,4,2,4,4,4,4,4,4,4,4,4,1,4,4
44,5,5,5,5,5,2,5,1,5,1,1,5,5,1,5,1,1,1,5,2,1,3,1,3,1,,1,1,1,5,3,4,5,5,5,5,1,5,3,1,4,4
45,4,4,4,3,5,3,4,4,4,3,5,5,4,3,4,4,2,3,4,2,3,3,2,1,2,1,4,2,3,3,4,4,3,3,4,4,3,4,3,1,4,4
46,4,5,5,4,4,4,4,4,4,3,3,3,4,4,3,4,3,4,4,,4,2,3,3,,3,4,4,5,3,3,5,5,5,5,5,5,3,3,1,4,4
47,4,4,4,3,4,4,4,3,5,3,3,4,5,2,5,2,2,3,4,2,3,2,2,2,2,,3,1,3,1,3,2,2,2,3,3,2,1,1,1,4,4
48,4,5,5,3,4,3,3,4,4,4,4,4,4,3,3,4,3,3,4,2,4,1,1,1,3,,4,4,4,4,3,4,5,4,4,4,4,3,3,1,4,4
49,4,5,4,4,4,4,4,4,2,2,2,2,4,3,3,4,3,5,4,1,3,3,3,3,3,3,4,2,5,3,4,5,5,5,4,5,3,5,4,2,1,4
50,5,5,5,4,4,5,5,5,4,2,2,2,4,4,4,4,4,4,4,2,,3,1,3,4,3,4,4,4,4,2,5,5,3,4,5,5,5,4,1,2,4
51,5,5,5,5,5,5,5,5,5,4,3,3,5,3,2,5,5,5,2,1,4,3,3,3,5,3,5,2,5,4,4,5,5,5,4,5,5,4,3,1,,5
